  N       EV_0       EV_1       EV_2       EV_3       EV_4       EV_5       EV_6       EV_7       EV_8       EV_9      EV_10      EV_11      EV_12      EV_13      EV_14      EV_15      EV_16      EV_17      EV_18      EV_19      EV_20      EV_21      EV_22      EV_23      EV_24      EV_25      EV_26      EV_27      EV_28      EV_29      EV_30      EV_31      EV_32      EV_33      EV_34      EV_35      EV_36      EV_37      EV_38      EV_39      EV_40      EV_41      EV_42      EV_43      EV_44      EV_45      EV_46      EV_47      EV_48      EV_49      EV_50      EV_51      EV_52      EV_53      EV_54      EV_55      EV_56      EV_57      EV_58      EV_59      EV_60      EV_61      EV_62      EV_63      EV_64      EV_65      EV_66      EV_67      EV_68      EV_69      EV_70      EV_71      EV_72      EV_73      EV_74      EV_75      EV_76      EV_77      EV_78      EV_79      EV_80      EV_81      EV_82      EV_83      EV_84      EV_85      EV_86      EV_87      EV_88      EV_89      EV_90      EV_91      EV_92      EV_93      EV_94      EV_95      EV_96      EV_97      EV_98      EV_99     EV_100     EV_101     EV_102     EV_103     EV_104     EV_105     EV_106     EV_107     EV_108     EV_109     EV_110     EV_111     EV_112     EV_113     EV_114     EV_115     EV_116     EV_117     EV_118     EV_119     EV_120     EV_121     EV_122     EV_123     EV_124     EV_125     EV_126     EV_127     EV_128     EV_129     EV_130     EV_131     EV_132     EV_133     EV_134     EV_135     EV_136     EV_137     EV_138     EV_139     EV_140     EV_141     EV_142     EV_143     EV_144     EV_145     EV_146     EV_147     EV_148     EV_149     EV_150     EV_151     EV_152     EV_153     EV_154     EV_155     EV_156     EV_157     EV_158     EV_159     EV_160     EV_161      EV_162      EV_163      EV_164      EV_165      EV_166      EV_167      EV_168      EV_169      EV_170      EV_171      EV_172      EV_173      EV_174      EV_175      EV_176      EV_177      EV_178      EV_179      EV_180      EV_181      EV_182      EV_183      EV_184      EV_185      EV_186      EV_187      EV_188      EV_189      EV_190      EV_191      EV_192      EV_193      EV_194      EV_195      EV_196      EV_197       EV_198      EV_199
  1  -0.291083  -0.260841  -0.223258  -0.217314  -0.215286  -0.214036  -0.21279   -0.210113  -0.209224  -0.208696  -0.20837   -0.207669  -0.207628  -0.207555  -0.207519  -0.207504  -0.207445  -0.207384  -0.207377  -0.207375  -0.207373  -0.207117  -0.207009  -0.206721  -0.206721  -0.206716  -0.206716  -0.206015  -0.206015  -0.206015  -0.206015  -0.203429  -0.203014  -0.201857  -0.201276  -0.196319  -0.189478  -0.185467  -0.181733  -0.179776  -0.169253  -0.168847  -0.168143  -0.167995  -0.165881  -0.165712  -0.165565  -0.165466  -0.156489  -0.156405  -0.156317  -0.156253  -0.156166  -0.156098  -0.154726  -0.154619  -0.154594  -0.154327  -0.154088  -0.153633  -0.153336  -0.153084  -0.152855  -0.152698  -0.152462  -0.151742  -0.151522  -0.151516  -0.151054  -0.150493  -0.149917  -0.149863  -0.149457  -0.14905   -0.148749  -0.147944  -0.147431  -0.147069  -0.146629  -0.146264  -0.145531  -0.145245  -0.14521   -0.144998  -0.14498   -0.144805  -0.144533  -0.143799  -0.143621  -0.143438  -0.143372  -0.143027  -0.143022  -0.142605  -0.142272  -0.142204  -0.142003  -0.141987  -0.141712  -0.141685  -0.141029  -0.140732  -0.140473  -0.140201  -0.140041  -0.13949   -0.139416  -0.139191  -0.139092  -0.138213  -0.137721  -0.137247  -0.136575  -0.136549  -0.136537  -0.135899  -0.135618  -0.13522   -0.135042  -0.1346    -0.134533  -0.134456  -0.134325  -0.13398   -0.133716  -0.133622  -0.133245  -0.13317   -0.132865  -0.132839  -0.132407  -0.132343  -0.132039  -0.131425  -0.131344  -0.131256  -0.131044  -0.130368  -0.13019   -0.129271  -0.129     -0.128513  -0.127565  -0.12745   -0.127381  -0.127325  -0.127281  -0.126151  -0.126011  -0.125401  -0.124974  -0.124892  -0.124646  -0.122984  -0.122828  -0.12269   -0.122561  -0.120608  -0.120557  -0.120523  -0.120473  -0.114367  -0.0950255  -0.0950199  -0.0950163  -0.0950127  -0.0826315  -0.0811224  -0.0758254  -0.0740824  -0.0740499  -0.0722204  -0.0722193  -0.0722177  -0.0722166  -0.0715341  -0.0714541  -0.0714541  -0.071453   -0.0714528  -0.0708015  -0.0707927  -0.0707912  -0.0707887  -0.0704144  -0.0703395  -0.0702291  -0.0701617  -0.0699257  -0.0697732  -0.0694166  -0.0682644  -0.0661403  -0.065581   -0.0641382  -0.0640128  -0.0607702  -0.0587745  -0.00277826   0
  2  -0.259754  -0.253583  -0.204378  -0.201757  -0.199037  -0.198971  -0.198787  -0.198782  -0.198063  -0.19797   -0.197952  -0.19792   -0.1978    -0.197795  -0.197789  -0.197788  -0.1976    -0.197515  -0.197508  -0.197467  -0.197241  -0.197163  -0.197138  -0.197084  -0.197022  -0.197013  -0.196991  -0.196909  -0.196612  -0.195421  -0.194987  -0.194937  -0.194881  -0.194831  -0.194807  -0.192923  -0.184234  -0.17144   -0.169553  -0.169334  -0.159732  -0.159654  -0.158877  -0.158468  -0.158095  -0.157907  -0.15784   -0.157704  -0.151965  -0.151922  -0.151737  -0.151694  -0.150848  -0.150774  -0.150733  -0.150608  -0.150342  -0.149918  -0.148305  -0.148191  -0.148185  -0.148172  -0.148168  -0.147954  -0.147744  -0.147265  -0.14705   -0.146672  -0.146591  -0.146549  -0.146547  -0.146507  -0.145806  -0.145553  -0.145314  -0.145095  -0.145002  -0.144797  -0.144746  -0.144544  -0.144339  -0.143769  -0.143318  -0.143149  -0.143028  -0.14292   -0.142765  -0.142667  -0.14253   -0.142459  -0.142457  -0.141606  -0.1415    -0.141439  -0.141074  -0.140804  -0.140474  -0.140138  -0.139936  -0.139928  -0.139864  -0.139816  -0.139795  -0.139748  -0.139588  -0.139463  -0.139435  -0.139209  -0.139183  -0.139137  -0.139099  -0.139049  -0.139039  -0.138777  -0.138742  -0.138632  -0.138631  -0.13863   -0.13861   -0.138609  -0.138575  -0.138508  -0.13829   -0.138275  -0.138226  -0.137945  -0.137818  -0.137747  -0.136997  -0.136265  -0.136176  -0.134883  -0.134748  -0.13469   -0.134544  -0.134479  -0.134324  -0.134232  -0.133939  -0.133916  -0.133322  -0.133173  -0.132803  -0.132199  -0.132148  -0.131965  -0.131939  -0.131468  -0.131068  -0.130871  -0.130537  -0.130536  -0.130511  -0.13051   -0.130356  -0.130303  -0.13019   -0.130133  -0.129245  -0.129217  -0.129211  -0.129181  -0.105444   -0.10544    -0.105436   -0.105433   -0.0864575  -0.086457   -0.086443   -0.0864425  -0.0838462  -0.0835806  -0.0826205  -0.0814913  -0.0813249  -0.0809519  -0.080894   -0.0808878  -0.0808846  -0.080863   -0.0807066  -0.0806245  -0.0805925  -0.0805274  -0.0804422  -0.0803343  -0.0802519  -0.0801221  -0.0800299  -0.0799427  -0.0798458  -0.0796283  -0.0793704  -0.0791895  -0.078996   -0.0784021  -0.0749923  -0.074179   -0.0211655   -0.0210444
  3  -0.246367  -0.245126  -0.199188  -0.196854  -0.193793  -0.192964  -0.192696  -0.192423  -0.192334  -0.192319  -0.192289  -0.192186  -0.192152  -0.192146  -0.192139  -0.192111  -0.192087  -0.192079  -0.192067  -0.191952  -0.191938  -0.191937  -0.191935  -0.191887  -0.191876  -0.191874  -0.191869  -0.191868  -0.190437  -0.189369  -0.188846  -0.187484  -0.187047  -0.187016  -0.186962  -0.18693   -0.17787   -0.163987  -0.163843  -0.163807  -0.155841  -0.155837  -0.15573   -0.15565   -0.155409  -0.15501   -0.154012  -0.153462  -0.151402  -0.151377  -0.151341  -0.151322  -0.149703  -0.149662  -0.149657  -0.149621  -0.148207  -0.148103  -0.148075  -0.148063  -0.148043  -0.148033  -0.148022  -0.147771  -0.147471  -0.146748  -0.146463  -0.146426  -0.146404  -0.146402  -0.146381  -0.14637   -0.146169  -0.145832  -0.145498  -0.145485  -0.145343  -0.145307  -0.144923  -0.144912  -0.144859  -0.1445    -0.144382  -0.144299  -0.144283  -0.144163  -0.144007  -0.143532  -0.143472  -0.143345  -0.142175  -0.142136  -0.142058  -0.141397  -0.141246  -0.140915  -0.140695  -0.140655  -0.1405    -0.140444  -0.140233  -0.140202  -0.140046  -0.139948  -0.139925  -0.139914  -0.139839  -0.139684  -0.139684  -0.139681  -0.139531  -0.139503  -0.139452  -0.139323  -0.139245  -0.139242  -0.139163  -0.139005  -0.138995  -0.138962  -0.138829  -0.138805  -0.138732  -0.138656  -0.138632  -0.138467  -0.138434  -0.137514  -0.137291  -0.136918  -0.136534  -0.136504  -0.135673  -0.135315  -0.135026  -0.134735  -0.133271  -0.133208  -0.133202  -0.13319   -0.133169  -0.133008  -0.13298   -0.132901  -0.132714  -0.132527  -0.132498  -0.132009  -0.131989  -0.131956  -0.131948  -0.131507  -0.131315  -0.13128   -0.131247  -0.131216  -0.131161  -0.131044  -0.131041  -0.131018  -0.131007  -0.130219  -0.111142   -0.111133   -0.111125   -0.111109   -0.0949796  -0.0949718  -0.0949614  -0.0949538  -0.0901115  -0.0886497  -0.0885484  -0.0883371  -0.0874657  -0.0874594  -0.0874584  -0.0874521  -0.0859691  -0.0859683  -0.0859667  -0.0859667  -0.0858597  -0.0858157  -0.0858002  -0.0857967  -0.0857292  -0.085677   -0.0856341  -0.0856294  -0.0855252  -0.0854715  -0.0853723  -0.0853356  -0.0843823  -0.0842784  -0.07979    -0.0795526  -0.0320919   -0.0320804
  4  -0.238217  -0.23809   -0.196267  -0.195044  -0.192912  -0.192404  -0.188691  -0.188579  -0.18843   -0.188427  -0.188394  -0.188381  -0.188377  -0.188375  -0.188371  -0.188359  -0.188345  -0.188344  -0.188341  -0.188316  -0.188314  -0.188314  -0.188313  -0.188309  -0.187303  -0.187299  -0.187296  -0.187292  -0.184177  -0.182907  -0.18289   -0.181768  -0.181479  -0.181457  -0.18141   -0.181387  -0.173797  -0.16067   -0.160403  -0.159277  -0.154637  -0.154584  -0.154529  -0.154496  -0.153698  -0.153058  -0.152031  -0.15178   -0.151731  -0.151709  -0.151653  -0.151403  -0.15114   -0.150452  -0.149023  -0.149013  -0.149013  -0.149004  -0.148786  -0.148768  -0.148666  -0.148657  -0.147901  -0.147593  -0.14742   -0.147393  -0.147375  -0.147328  -0.147311  -0.147045  -0.146709  -0.146687  -0.146473  -0.14645   -0.14637   -0.146225  -0.145959  -0.145918  -0.145293  -0.145275  -0.145264  -0.145109  -0.144919  -0.14483   -0.144618  -0.144311  -0.143917  -0.143877  -0.142898  -0.142736  -0.14226   -0.142184  -0.141992  -0.141972  -0.141551  -0.141493  -0.141324  -0.141114  -0.141059  -0.140896  -0.140685  -0.14065   -0.14044   -0.140414  -0.140276  -0.140194  -0.140183  -0.14011   -0.140006  -0.139765  -0.139717  -0.139711  -0.139692  -0.13963   -0.139572  -0.139279  -0.139271  -0.139145  -0.13913   -0.139042  -0.138972  -0.138925  -0.138777  -0.138772  -0.13876   -0.138428  -0.138408  -0.138223  -0.137718  -0.137191  -0.13706   -0.136865  -0.135948  -0.135468  -0.134789  -0.134285  -0.13416   -0.134064  -0.133902  -0.133815  -0.13332   -0.132386  -0.131986  -0.131772  -0.131759  -0.131736  -0.131703  -0.131682  -0.131647  -0.131452  -0.131256  -0.131219  -0.13119   -0.131085  -0.130992  -0.130916  -0.130879  -0.130841  -0.130822  -0.130646  -0.126988  -0.126733  -0.114965   -0.114958   -0.114931   -0.114917   -0.100741   -0.100728   -0.100724   -0.100712   -0.0958328  -0.0949546  -0.0948442  -0.0940919  -0.0926483  -0.0926385  -0.0926383  -0.0926284  -0.0900369  -0.0900362  -0.0900338  -0.0900332  -0.0895624  -0.0895596  -0.089557   -0.0895562  -0.089486   -0.0894586  -0.0894531  -0.0894474  -0.0894396  -0.089396   -0.0892374  -0.0892058  -0.0850877  -0.0850713  -0.0822156  -0.0821817  -0.0396832   -0.0396798
  5  -0.232384  -0.232293  -0.194332  -0.193727  -0.192205  -0.191884  -0.18584   -0.185797  -0.185671  -0.185669  -0.185517  -0.185517  -0.185511  -0.18551   -0.185484  -0.185478  -0.185432  -0.18541   -0.185371  -0.185365  -0.185364  -0.185358  -0.18534   -0.185247  -0.183559  -0.183555  -0.183553  -0.183549  -0.179129  -0.178284  -0.178028  -0.177469  -0.177292  -0.177276  -0.177235  -0.177217  -0.170887  -0.158434  -0.158238  -0.156555  -0.154523  -0.154078  -0.15404   -0.153985  -0.153942  -0.153926  -0.15267   -0.152196  -0.152188  -0.152133  -0.152129  -0.151724  -0.150934  -0.150114  -0.150109  -0.150089  -0.150087  -0.149688  -0.148655  -0.148633  -0.148621  -0.148551  -0.148498  -0.148454  -0.14811   -0.147985  -0.147916  -0.147859  -0.147777  -0.147726  -0.147682  -0.147548  -0.147248  -0.147228  -0.146555  -0.146507  -0.146185  -0.146043  -0.145472  -0.14526   -0.145169  -0.144806  -0.144699  -0.144478  -0.144457  -0.144303  -0.143924  -0.143636  -0.143451  -0.142752  -0.142603  -0.142411  -0.142406  -0.141861  -0.141548  -0.141545  -0.141354  -0.141216  -0.141146  -0.141108  -0.140897  -0.140842  -0.140652  -0.140649  -0.140644  -0.140588  -0.14055   -0.140506  -0.140174  -0.140109  -0.140086  -0.140064  -0.139866  -0.139813  -0.139671  -0.139563  -0.139395  -0.139293  -0.139141  -0.139136  -0.13911   -0.138871  -0.138829  -0.138757  -0.138737  -0.138713  -0.138336  -0.13798   -0.137614  -0.137613  -0.136877  -0.136652  -0.136458  -0.136099  -0.134315  -0.134248  -0.134129  -0.134071  -0.133857  -0.133166  -0.132987  -0.132447  -0.131781  -0.131765  -0.131689  -0.131669  -0.131041  -0.130751  -0.130632  -0.130611  -0.130595  -0.130536  -0.130525  -0.130288  -0.130265  -0.130231  -0.130182  -0.130073  -0.129266  -0.129206  -0.123628  -0.123576  -0.117744   -0.117734   -0.117716   -0.117706   -0.104973   -0.104959   -0.104958   -0.104944   -0.100263   -0.0997427  -0.0995552  -0.098901   -0.0968101  -0.0967986  -0.0967977  -0.0967862  -0.0934347  -0.0934331  -0.0934297  -0.0934281  -0.0925643  -0.0925375  -0.0925358  -0.0925305  -0.092524   -0.0924905  -0.0924711  -0.0924509  -0.0921416  -0.0921228  -0.0920398  -0.0920324  -0.0857394  -0.0857296  -0.0838416  -0.0838403  -0.0454961   -0.0454959
  6  -0.227689  -0.227588  -0.192909  -0.19262   -0.191498  -0.191306  -0.18383   -0.183792  -0.183667  -0.183641  -0.183225  -0.183216  -0.183208  -0.183207  -0.183188  -0.183184  -0.182853  -0.182797  -0.182792  -0.18279   -0.182783  -0.182765  -0.182696  -0.182573  -0.180422  -0.180421  -0.180415  -0.180414  -0.175104  -0.174568  -0.174238  -0.174036  -0.174008  -0.173995  -0.173959  -0.173943  -0.168679  -0.157022  -0.156849  -0.156842  -0.156726  -0.155288  -0.153926  -0.153716  -0.153629  -0.1535    -0.152526  -0.152509  -0.152503  -0.152477  -0.151884  -0.151069  -0.151053  -0.151032  -0.151014  -0.150521  -0.150165  -0.150089  -0.14991   -0.149739  -0.149738  -0.149589  -0.149571  -0.148939  -0.148828  -0.148807  -0.148676  -0.148398  -0.147971  -0.147517  -0.147498  -0.147493  -0.147337  -0.147116  -0.14702   -0.146542  -0.146492  -0.145699  -0.145615  -0.145476  -0.145415  -0.144899  -0.144526  -0.144013  -0.143936  -0.143931  -0.143702  -0.143294  -0.143173  -0.143014  -0.143009  -0.142375  -0.14224   -0.141604  -0.141558  -0.141538  -0.141477  -0.141384  -0.141301  -0.141079  -0.141019  -0.140975  -0.140968  -0.140803  -0.140776  -0.140773  -0.140679  -0.140653  -0.14037   -0.140345  -0.140338  -0.14023   -0.14016   -0.140019  -0.139764  -0.139746  -0.139595  -0.139266  -0.139241  -0.13922   -0.13885   -0.138803  -0.138681  -0.138679  -0.138576  -0.138475  -0.138185  -0.137941  -0.13787   -0.137576  -0.137096  -0.136839  -0.136571  -0.13652   -0.134237  -0.134154  -0.134128  -0.134049  -0.13378   -0.133694  -0.131654  -0.131593  -0.131575  -0.131509  -0.131246  -0.13096   -0.130264  -0.130188  -0.130157  -0.130058  -0.130028  -0.129946  -0.129901  -0.129581  -0.129577  -0.129505  -0.129419  -0.129362  -0.127902  -0.127875  -0.120979  -0.120971  -0.119868   -0.119851   -0.119825   -0.119819   -0.108253   -0.108241   -0.108238   -0.108226   -0.103812   -0.1035     -0.103272   -0.102822   -0.100238   -0.100226   -0.100224   -0.100212   -0.0963583  -0.0963552  -0.0963514  -0.0963483  -0.0952767  -0.0951663  -0.0951595  -0.0951474  -0.0950243  -0.0950076  -0.0950032  -0.0949865  -0.0941482  -0.0941365  -0.0941247  -0.0941141  -0.0864103  -0.0864072  -0.0850932  -0.085092   -0.0501961   -0.0501959
  7  -0.223744  -0.223673  -0.191769  -0.191639  -0.190784  -0.190676  -0.182283  -0.182272  -0.182141  -0.182107  -0.181309  -0.181268  -0.181251  -0.18123   -0.181221  -0.18122   -0.180537  -0.180531  -0.18053   -0.180522  -0.180516  -0.180409  -0.180363  -0.180216  -0.177746  -0.177746  -0.17774   -0.177739  -0.171853  -0.171515  -0.171356  -0.171345  -0.171311  -0.171295  -0.171193  -0.171189  -0.166941  -0.15904   -0.158936  -0.155935  -0.155716  -0.155036  -0.153963  -0.153596  -0.153409  -0.152755  -0.152738  -0.152716  -0.15271   -0.152645  -0.151815  -0.151796  -0.151753  -0.151749  -0.151453  -0.151222  -0.15117   -0.150776  -0.150665  -0.150607  -0.15049   -0.149975  -0.149775  -0.149714  -0.149473  -0.149386  -0.14929   -0.148443  -0.148419  -0.148222  -0.148022  -0.147938  -0.147108  -0.146973  -0.1466    -0.146407  -0.146034  -0.145563  -0.145418  -0.145254  -0.145218  -0.144572  -0.144356  -0.143789  -0.143544  -0.143535  -0.143427  -0.143381  -0.143278  -0.142853  -0.14258   -0.142492  -0.142159  -0.141929  -0.141881  -0.141747  -0.141549  -0.141445  -0.141339  -0.141261  -0.141208  -0.14114   -0.141078  -0.140964  -0.140912  -0.140791  -0.140739  -0.140703  -0.140629  -0.140512  -0.140483  -0.140418  -0.140219  -0.140051  -0.139811  -0.139765  -0.139633  -0.139418  -0.139376  -0.139067  -0.138527  -0.138518  -0.138438  -0.138362  -0.138163  -0.138022  -0.138007  -0.13786   -0.137717  -0.137597  -0.137393  -0.136925  -0.136829  -0.136772  -0.134357  -0.134061  -0.133956  -0.133955  -0.133943  -0.133691  -0.131489  -0.131435  -0.131395  -0.131337  -0.130024  -0.129816  -0.129799  -0.129761  -0.129722  -0.129691  -0.129647  -0.129601  -0.129035  -0.129018  -0.128952  -0.128928  -0.128727  -0.128692  -0.126729  -0.126708  -0.121563  -0.121478  -0.121475   -0.121451   -0.118894   -0.118894   -0.110888   -0.110877   -0.110873   -0.110862   -0.106728   -0.106547   -0.106309   -0.106032   -0.103118   -0.103106   -0.103103   -0.103091   -0.0989188  -0.098914   -0.0989102  -0.0989054  -0.0977054  -0.097602   -0.0975862  -0.097569   -0.0971739  -0.0971594  -0.0971422  -0.0971315  -0.095746   -0.0957401  -0.095723   -0.0957171  -0.0871033  -0.0871026  -0.0861458  -0.0861452  -0.0541268   -0.0541267
  8  -0.220365  -0.220321  -0.190795  -0.190743  -0.190075  -0.190019  -0.181064  -0.181051  -0.180937  -0.180898  -0.179665  -0.179613  -0.179544  -0.179516  -0.179447  -0.179447  -0.178522  -0.178517  -0.178516  -0.178508  -0.178397  -0.17829   -0.178269  -0.178114  -0.175435  -0.175434  -0.175429  -0.175427  -0.169181  -0.169171  -0.169159  -0.169125  -0.169108  -0.168964  -0.168795  -0.168675  -0.165539  -0.160686  -0.160676  -0.155355  -0.155095  -0.154936  -0.15403   -0.153535  -0.1532    -0.152861  -0.152848  -0.15284   -0.152831  -0.152568  -0.152388  -0.152377  -0.152335  -0.152307  -0.152242  -0.151882  -0.151623  -0.151465  -0.15142   -0.151271  -0.150854  -0.150804  -0.150669  -0.150567  -0.150539  -0.148883  -0.148823  -0.148813  -0.148737  -0.14872   -0.14863   -0.147415  -0.1468    -0.146469  -0.146406  -0.145856  -0.145712  -0.145695  -0.145303  -0.145204  -0.144923  -0.144347  -0.14401   -0.143941  -0.14351   -0.143417  -0.14326   -0.143089  -0.14291   -0.142806  -0.142767  -0.142667  -0.1425    -0.142265  -0.142202  -0.14208   -0.141987  -0.141719  -0.141616  -0.141568  -0.141311  -0.141216  -0.140994  -0.140968  -0.140856  -0.14075   -0.140703  -0.140565  -0.14053   -0.140503  -0.14034   -0.140136  -0.140022  -0.139948  -0.139777  -0.139742  -0.13959   -0.139506  -0.13945   -0.139084  -0.138521  -0.138409  -0.13826   -0.138113  -0.137942  -0.137818  -0.1376    -0.1376    -0.137402  -0.137203  -0.137133  -0.137051  -0.137041  -0.13685   -0.13474   -0.133868  -0.13384   -0.133799  -0.133778  -0.133747  -0.131338  -0.13131   -0.131226  -0.131196  -0.129597  -0.129584  -0.129566  -0.129462  -0.129457  -0.129416  -0.129317  -0.129307  -0.128543  -0.128525  -0.128238  -0.128172  -0.127794  -0.127783  -0.125716  -0.125703  -0.122916  -0.122802  -0.122754   -0.122746   -0.117255   -0.117255   -0.113057   -0.113047   -0.113043   -0.113033   -0.109173   -0.109082   -0.108848   -0.108699   -0.105577   -0.105565   -0.105561   -0.10555    -0.101187   -0.101181   -0.101178   -0.101172   -0.0999154  -0.0998337  -0.0998147  -0.0997854  -0.0990692  -0.0990581  -0.0990271  -0.099022   -0.0970635  -0.0970606  -0.0970154  -0.0970126  -0.0878086  -0.0878085  -0.0870861  -0.0870859  -0.0574937   -0.0574937
  9  -0.217423  -0.217398  -0.189925  -0.189909  -0.189381  -0.189355  -0.180066  -0.180038  -0.17995   -0.179911  -0.178217  -0.178154  -0.178042  -0.178004  -0.177831  -0.177829  -0.176712  -0.176711  -0.17671   -0.176697  -0.17646   -0.176369  -0.176367  -0.176218  -0.173418  -0.173415  -0.173412  -0.173409  -0.167342  -0.167326  -0.167291  -0.16727   -0.166948  -0.166808  -0.166761  -0.166561  -0.164388  -0.162083  -0.161992  -0.155216  -0.155018  -0.154449  -0.154062  -0.15355   -0.153503  -0.153406  -0.15298   -0.152893  -0.152883  -0.152875  -0.152874  -0.152788  -0.152696  -0.152695  -0.15267   -0.152428  -0.152231  -0.152164  -0.152033  -0.151651  -0.151634  -0.151463  -0.151255  -0.151245  -0.150209  -0.149271  -0.149039  -0.149004  -0.148922  -0.148373  -0.147989  -0.147062  -0.146554  -0.146332  -0.146016  -0.145796  -0.145711  -0.145359  -0.145249  -0.145134  -0.144675  -0.144532  -0.143858  -0.143857  -0.143624  -0.143505  -0.14345   -0.143442  -0.142988  -0.14298   -0.142951  -0.142902  -0.14277   -0.142652  -0.142351  -0.14217   -0.142045  -0.141699  -0.141697  -0.141628  -0.141384  -0.141237  -0.140923  -0.140912  -0.140645  -0.140582  -0.140423  -0.140341  -0.140334  -0.140274  -0.140216  -0.140139  -0.139846  -0.139751  -0.13975   -0.139729  -0.13956   -0.139476  -0.139291  -0.139175  -0.138517  -0.138319  -0.138119  -0.138048  -0.137761  -0.137747  -0.137447  -0.137428  -0.137389  -0.13724   -0.137062  -0.136888  -0.136245  -0.136202  -0.135051  -0.133944  -0.133686  -0.133635  -0.13362   -0.133611  -0.131219  -0.131214  -0.131101  -0.131096  -0.12959   -0.129584  -0.129495  -0.129406  -0.129228  -0.129218  -0.129131  -0.129086  -0.12813   -0.128105  -0.127819  -0.127778  -0.126665  -0.126663  -0.124849  -0.124842  -0.124002  -0.123882  -0.123796   -0.123768   -0.115975   -0.115972   -0.114875   -0.114866   -0.114862   -0.114853   -0.111247   -0.111235   -0.110998   -0.11095    -0.107701   -0.10769    -0.107686   -0.107675   -0.103219   -0.103211   -0.103209   -0.103202   -0.101939   -0.101881   -0.101857   -0.101828   -0.100759   -0.100751   -0.10071    -0.100709   -0.0981742  -0.0981728  -0.0981163  -0.0981151  -0.088518   -0.088518   -0.0879569  -0.0879569  -0.06043     -0.06043
 10  -0.214827  -0.214813  -0.189123  -0.189123  -0.188706  -0.188697  -0.179214  -0.179181  -0.179113  -0.179077  -0.176923  -0.176851  -0.176712  -0.176664  -0.17634   -0.176337  -0.175087  -0.175087  -0.175064  -0.175053  -0.174683  -0.17463   -0.174609  -0.174491  -0.171642  -0.171638  -0.171637  -0.171633  -0.165793  -0.165768  -0.16573   -0.165706  -0.165101  -0.165052  -0.16498   -0.164755  -0.163425  -0.163192  -0.162972  -0.155338  -0.154867  -0.154408  -0.154314  -0.154177  -0.15403   -0.153504  -0.153472  -0.153435  -0.153034  -0.152977  -0.152951  -0.152909  -0.152885  -0.15287   -0.152859  -0.152839  -0.152709  -0.152619  -0.152519  -0.152232  -0.152075  -0.151979  -0.151827  -0.150733  -0.149825  -0.149434  -0.149222  -0.149094  -0.149034  -0.148059  -0.147524  -0.146825  -0.146368  -0.146313  -0.14584   -0.145681  -0.145661  -0.145572  -0.144968  -0.144914  -0.144736  -0.14467   -0.144627  -0.144468  -0.143953  -0.143746  -0.143426  -0.143417  -0.143362  -0.143148  -0.143128  -0.142873  -0.14272   -0.142589  -0.142303  -0.142015  -0.141948  -0.141943  -0.141766  -0.141676  -0.141198  -0.140998  -0.140871  -0.140768  -0.140542  -0.140491  -0.140411  -0.140213  -0.14017   -0.140023  -0.140015  -0.139883  -0.139846  -0.139739  -0.139679  -0.139637  -0.139412  -0.139325  -0.139091  -0.138891  -0.138518  -0.138214  -0.13805   -0.137864  -0.137858  -0.137801  -0.137613  -0.137511  -0.137023  -0.136981  -0.136909  -0.136736  -0.135391  -0.135368  -0.135288  -0.1341    -0.133526  -0.133494  -0.13346   -0.13345   -0.131147  -0.131134  -0.131033  -0.131019  -0.129704  -0.129695  -0.129565  -0.129531  -0.129088  -0.12905   -0.129005  -0.128942  -0.127783  -0.127759  -0.127507  -0.12748   -0.125676  -0.125674  -0.12488   -0.124773  -0.124658  -0.124585  -0.12411    -0.124107   -0.116421   -0.116412   -0.116409   -0.1164     -0.115031   -0.115017   -0.113093   -0.112982   -0.112882   -0.112801   -0.109557   -0.109547   -0.109542   -0.109532   -0.105057   -0.10505    -0.105048   -0.105042   -0.103792   -0.103756   -0.103728   -0.103707   -0.102276   -0.10227    -0.102226   -0.102225   -0.0991401  -0.0991394  -0.0990823  -0.0990818  -0.089226   -0.089226   -0.0887809  -0.0887809  -0.0630278   -0.0630278
